idcliente;idusuario;tipo_comprobante;serie_comprobante;num_comprobante;fecha_hora;impuesto;total;estado;created_at;updated_at;requerimiento;descripcion_req;tiempo_inst_softw;idarticulo;cantidad;precio;descuento;fecha_proceso_proveedor;fecha_proceso_almacen;fecha_proceso_inst_softw;fecha_entrega;fecha_entrega_real;estado_entrega;dia_rand;hora_rand;dia_format_cero;observacion;prob_obs
272;234;BOLETA;000040;000040;2020-11-04 16:55:10;0.18;;Registrado;2020-11-04 16:55:10;2020-11-04 16:55:10;;;;23;12;;0.00;;si;;;7;Entregado; 4 ; 16:55:10 ;04;;8
314;234;FACTURA;000041;000041;2020-11-12 10:14:36;0.18;;Registrado;2020-11-12 10:14:36;2020-11-12 10:14:36;;;;23;2;;0.00;;si;;;7;Entregado; 12 ; 10:14:36 ;12;;2
285;234;FACTURA;000042;000042;2020-11-19 22:28:35;0.18;;Registrado;2020-11-19 22:28:35;2020-11-19 22:28:35;;;;21;10;;0.00;;si;;;3;Entregado; 19 ; 22:28:35 ;19;;3
287;234;FACTURA;000043;000043;2020-11-01 18:28:44;0.18;;Registrado;2020-11-01 18:28:44;2020-11-01 18:28:44;;;;15;13;;0.00;;si;;;1;Entregado; 1 ; 18:28:44 ;01;;6
315;234;BOLETA;000044;000044;2020-11-02 21:25:19;0.18;;Registrado;2020-11-02 21:25:19;2020-11-02 21:25:19;;;;14;9;;0.00;;si;;;8;Entregado; 2 ; 21:25:19 ;02;Producto dañado;1
337;235;BOLETA;000045;000045;2020-11-02 13:38:54;0.18;;Registrado;2020-11-02 13:38:54;2020-11-02 13:38:54;;;;25;2;;0.00;si;si;;;3;Entregado; 2 ; 13:38:54 ;02;;3
331;234;BOLETA;000046;000046;2020-11-16 11:31:28;0.18;;Registrado;2020-11-16 11:31:28;2020-11-16 11:31:28;instalación software;Instalar Microsoft Office, Winrar, Antivirus, Nitro, Adobe Reader DC;1;8;13;;0.00;;si;;;5;Entregado; 16 ; 11:31:28 ;16;;3
293;234;FACTURA;000047;000047;2020-11-29 15:28:16;0.18;;Registrado;2020-11-29 15:28:16;2020-11-29 15:28:16;;;;24;2;;0.00;;si;;;1;Entregado; 29 ; 15:28:16 ;29;Producto defectuoso;1
321;235;FACTURA;000048;000048;2020-11-16 12:33:25;0.18;;Registrado;2020-11-16 12:33:25;2020-11-16 12:33:25;;;;20;12;;0.00;;si;;;3;Entregado; 16 ; 12:33:25 ;16;;5
350;234;FACTURA;000049;000049;2020-11-07 12:45:13;0.18;;Registrado;2020-11-07 12:45:13;2020-11-07 12:45:13;instalación software;Instalar Microsoft Office, Winrar, Antivirus, Nitro, Adobe Reader DC;1;9;14;;0.00;;si;;;4;Entregado; 7 ; 12:45:13 ;07;;6
330;235;FACTURA;000050;000050;2020-11-29 9:17:47;0.18;;Registrado;2020-11-29 9:17:47;2020-11-29 9:17:47;;;;27;10;;0.00;;si;;;1;Entregado; 29 ; 9:17:47 ;29;;6
333;234;BOLETA;000051;000051;2020-11-22 13:55:56;0.18;;Registrado;2020-11-22 13:55:56;2020-11-22 13:55:56;;;;27;4;;0.00;;si;;;7;Entregado; 22 ; 13:55:56 ;22;;2
312;235;FACTURA;000052;000052;2020-11-01 22:54:55;0.18;;Registrado;2020-11-01 22:54:55;2020-11-01 22:54:55;instalación software;Instalar Microsoft Office, Winrar, Antivirus, Nitro, Adobe Reader DC;1;8;2;;0.00;;si;;;8;Entregado; 1 ; 22:54:55 ;01;;2
280;234;BOLETA;000053;000053;2020-11-28 10:15:55;0.18;;Registrado;2020-11-28 10:15:55;2020-11-28 10:15:55;;;;23;14;;0.00;;si;;;4;Entregado; 28 ; 10:15:55 ;28;;7
340;235;BOLETA;000054;000054;2020-11-11 12:30:18;0.18;;Registrado;2020-11-11 12:30:18;2020-11-11 12:30:18;;;;13;9;;0.00;;si;;;6;Entregado; 11 ; 12:30:18 ;11;;8
307;235;BOLETA;000055;000055;2020-11-25 13:29:35;0.18;;Registrado;2020-11-25 13:29:35;2020-11-25 13:29:35;;;;11;1;;0.00;;si;;;7;Entregado; 25 ; 13:29:35 ;25;;8
306;235;FACTURA;000056;000056;2020-11-25 9:39:47;0.18;;Registrado;2020-11-25 9:39:47;2020-11-25 9:39:47;;;;13;11;;0.00;;si;;;9;Entregado; 25 ; 9:39:47 ;25;;2
292;235;FACTURA;000057;000057;2020-11-07 18:40:56;0.18;;Registrado;2020-11-07 18:40:56;2020-11-07 18:40:56;;;;28;13;;0.00;;si;;;2;Entregado; 7 ; 18:40:56 ;07;;4
338;235;FACTURA;000058;000058;2020-11-25 22:37:58;0.18;;Registrado;2020-11-25 22:37:58;2020-11-25 22:37:58;instalación software;Instalar Microsoft Office, Winrar, Antivirus, Nitro, Adobe Reader DC;1;8;12;;0.00;si;si;;;5;Entregado; 25 ; 22:37:58 ;25;;3
303;235;BOLETA;000059;000059;2020-11-08 10:29:25;0.18;;Registrado;2020-11-08 10:29:25;2020-11-08 10:29:25;;;;23;14;;0.00;;si;;;5;Entregado; 8 ; 10:29:25 ;08;;3
348;234;BOLETA;000060;000060;2020-11-25 21:40:16;0.18;;Registrado;2020-11-25 21:40:16;2020-11-25 21:40:16;;;;23;8;;0.00;;si;;;9;Entregado; 25 ; 21:40:16 ;25;;8
281;234;BOLETA;000061;000061;2020-11-28 19:33:16;0.18;;Registrado;2020-11-28 19:33:16;2020-11-28 19:33:16;instalación software;Instalar Microsoft Office, Winrar, Antivirus, Nitro, Adobe Reader DC;1;8;5;;0.00;;si;;;3;Entregado; 28 ; 19:33:16 ;28;;2
298;235;BOLETA;000062;000062;2020-11-28 21:21:50;0.18;;Registrado;2020-11-28 21:21:50;2020-11-28 21:21:50;;;;14;10;;0.00;;si;;;3;Entregado; 28 ; 21:21:50 ;28;;7
306;234;FACTURA;000063;000063;2020-11-30 12:23:51;0.18;;Registrado;2020-11-30 12:23:51;2020-11-30 12:23:51;;;;21;14;;0.00;;si;;;2;Entregado; 30 ; 12:23:51 ;30;;8
284;235;FACTURA;000064;000064;2020-11-09 10:40:58;0.18;;Registrado;2020-11-09 10:40:58;2020-11-09 10:40:58;instalación software;Instalar Microsoft Office, Winrar, Antivirus, Nitro, Adobe Reader DC;1;9;6;;0.00;;si;;;3;Entregado; 9 ; 10:40:58 ;09;Producto defectuoso;1
285;234;FACTURA;000065;000065;2020-11-30 14:54:33;0.18;;Registrado;2020-11-30 14:54:33;2020-11-30 14:54:33;instalación software;Instalar Microsoft Office, Winrar, Antivirus, Nitro, Adobe Reader DC;1;10;12;;0.00;;si;;;6;Entregado; 30 ; 14:54:33 ;30;Producto dañado;1
285;235;FACTURA;000066;000066;2020-11-01 10:20:42;0.18;;Registrado;2020-11-01 10:20:42;2020-11-01 10:20:42;;;;29;12;;0.00;;si;;;2;Entregado; 1 ; 10:20:42 ;01;;6
316;234;BOLETA;000067;000067;2020-11-11 17:10:22;0.18;;Registrado;2020-11-11 17:10:22;2020-11-11 17:10:22;;;;12;4;;0.00;;si;;;5;Entregado; 11 ; 17:10:22 ;11;;2
349;234;BOLETA;000068;000068;2020-11-14 19:23:34;0.18;;Registrado;2020-11-14 19:23:34;2020-11-14 19:23:34;;;;19;3;;0.00;;si;;;9;Entregado; 14 ; 19:23:34 ;14;;2
312;234;FACTURA;000069;000069;2020-11-27 18:23:23;0.18;;Registrado;2020-11-27 18:23:23;2020-11-27 18:23:23;;;;26;7;;0.00;;si;;;2;Entregado; 27 ; 18:23:23 ;27;Producto dañado;1
302;234;BOLETA;000070;000070;2020-11-02 15:50:56;0.18;;Registrado;2020-11-02 15:50:56;2020-11-02 15:50:56;;;;20;8;;0.00;;si;;;3;Entregado; 2 ; 15:50:56 ;02;;4
307;234;FACTURA;000071;000071;2020-11-13 10:46:16;0.18;;Registrado;2020-11-13 10:46:16;2020-11-13 10:46:16;;;;29;2;;0.00;;si;;;6;Entregado; 13 ; 10:46:16 ;13;;6
278;234;FACTURA;000072;000072;2020-11-01 14:57:53;0.18;;Registrado;2020-11-01 14:57:53;2020-11-01 14:57:53;;;;11;1;;0.00;;si;;;6;Entregado; 1 ; 14:57:53 ;01;;8
315;234;BOLETA;000073;000073;2020-11-10 18:33:46;0.18;;Registrado;2020-11-10 18:33:46;2020-11-10 18:33:46;;;;28;11;;0.00;si;si;;;1;Entregado; 10 ; 18:33:46 ;10;;4
351;234;BOLETA;000074;000074;2020-11-18 21:21:14;0.18;;Registrado;2020-11-18 21:21:14;2020-11-18 21:21:14;;;;18;11;;0.00;;si;;;5;Entregado; 18 ; 21:21:14 ;18;;3
301;235;FACTURA;000075;000075;2020-11-17 18:48:37;0.18;;Registrado;2020-11-17 18:48:37;2020-11-17 18:48:37;;;;25;7;;0.00;;si;;;6;Entregado; 17 ; 18:48:37 ;17;;6
311;234;BOLETA;000076;000076;2020-11-04 10:39:33;0.18;;Registrado;2020-11-04 10:39:33;2020-11-04 10:39:33;;;;19;15;;0.00;;si;;;3;Entregado; 4 ; 10:39:33 ;04;;4
306;234;BOLETA;000077;000077;2020-11-29 9:38:36;0.18;;Registrado;2020-11-29 9:38:36;2020-11-29 9:38:36;;;;28;7;;0.00;;si;;;9;Entregado; 29 ; 9:38:36 ;29;;6
322;235;BOLETA;000078;000078;2020-11-03 19:53:43;0.18;;Registrado;2020-11-03 19:53:43;2020-11-03 19:53:43;;;;16;14;;0.00;;si;;;9;Entregado; 3 ; 19:53:43 ;03;;6
310;235;BOLETA;000079;000079;2020-11-28 21:18:46;0.18;;Registrado;2020-11-28 21:18:46;2020-11-28 21:18:46;;;;22;14;;0.00;;si;;;8;Entregado; 28 ; 21:18:46 ;28;;7
338;235;FACTURA;000080;000080;2020-11-30 17:48:53;0.18;;Registrado;2020-11-30 17:48:53;2020-11-30 17:48:53;;;;29;8;;0.00;;si;;;5;Entregado; 30 ; 17:48:53 ;30;;7
313;234;BOLETA;000081;000081;2020-11-15 19:18:57;0.18;;Registrado;2020-11-15 19:18:57;2020-11-15 19:18:57;;;;24;13;;0.00;si;si;;;6;Entregado; 15 ; 19:18:57 ;15;;4
268;235;FACTURA;000082;000082;2020-11-29 22:54:16;0.18;;Registrado;2020-11-29 22:54:16;2020-11-29 22:54:16;;;;12;9;;0.00;;si;;;2;Entregado; 29 ; 22:54:16 ;29;Producto defectuoso;1
329;235;BOLETA;000083;000083;2020-11-12 10:41:18;0.18;;Registrado;2020-11-12 10:41:18;2020-11-12 10:41:18;;;;13;7;;0.00;;si;;;7;Entregado; 12 ; 10:41:18 ;12;Producto dañado;1
339;234;FACTURA;000084;000084;2020-11-23 14:18:48;0.18;;Registrado;2020-11-23 14:18:48;2020-11-23 14:18:48;;;;13;9;;0.00;;si;;;4;Entregado; 23 ; 14:18:48 ;23;;3
339;234;FACTURA;000085;000085;2020-11-12 21:44:43;0.18;;Registrado;2020-11-12 21:44:43;2020-11-12 21:44:43;instalación software;Instalar Microsoft Office, Winrar, Antivirus, Nitro, Adobe Reader DC;1;9;5;;0.00;;si;;;8;Entregado; 12 ; 21:44:43 ;12;;7
347;235;FACTURA;000086;000086;2020-11-18 10:14:30;0.18;;Registrado;2020-11-18 10:14:30;2020-11-18 10:14:30;instalación software;Instalar Microsoft Office, Winrar, Antivirus, Nitro, Adobe Reader DC;1;9;6;;0.00;;si;;;6;Entregado; 18 ; 10:14:30 ;18;;3
328;235;BOLETA;000087;000087;2020-11-03 14:44:29;0.18;;Registrado;2020-11-03 14:44:29;2020-11-03 14:44:29;;;;16;1;;0.00;;si;;;5;Entregado; 3 ; 14:44:29 ;03;;8
270;235;BOLETA;000088;000088;2020-11-26 10:59:15;0.18;;Registrado;2020-11-26 10:59:15;2020-11-26 10:59:15;;;;27;12;;0.00;;si;;;2;Entregado; 26 ; 10:59:15 ;26;;8
283;234;FACTURA;000089;000089;2020-11-10 14:31:38;0.18;;Registrado;2020-11-10 14:31:38;2020-11-10 14:31:38;;;;16;1;;0.00;;si;;;3;Entregado; 10 ; 14:31:38 ;10;;2
336;234;FACTURA;000090;000090;2020-11-03 12:41:33;0.18;;Registrado;2020-11-03 12:41:33;2020-11-03 12:41:33;;;;23;2;;0.00;;si;;;6;Entregado; 3 ; 12:41:33 ;03;;8
304;235;BOLETA;000091;000091;2020-11-26 14:24:41;0.18;;Registrado;2020-11-26 14:24:41;2020-11-26 14:24:41;;;;17;11;;0.00;;si;;;6;Entregado; 26 ; 14:24:41 ;26;;6
308;235;FACTURA;000092;000092;2020-11-06 15:46:36;0.18;;Registrado;2020-11-06 15:46:36;2020-11-06 15:46:36;;;;19;8;;0.00;;si;;;7;Entregado; 6 ; 15:46:36 ;06;;6
335;235;FACTURA;000093;000093;2020-11-12 9:17:56;0.18;;Registrado;2020-11-12 9:17:56;2020-11-12 9:17:56;;;;12;11;;0.00;;si;;;2;Entregado; 12 ; 9:17:56 ;12;;4
323;235;FACTURA;000094;000094;2020-11-02 18:53:37;0.18;;Registrado;2020-11-02 18:53:37;2020-11-02 18:53:37;;;;12;10;;0.00;;si;;;2;Entregado; 2 ; 18:53:37 ;02;;8
307;235;FACTURA;000095;000095;2020-11-02 22:43:56;0.18;;Registrado;2020-11-02 22:43:56;2020-11-02 22:43:56;;;;21;11;;0.00;;si;;;5;Entregado; 2 ; 22:43:56 ;02;;7
300;235;BOLETA;000096;000096;2020-11-26 16:49:40;0.18;;Registrado;2020-11-26 16:49:40;2020-11-26 16:49:40;instalación software;Instalar Microsoft Office, Winrar, Antivirus, Nitro, Adobe Reader DC;1;9;5;;0.00;;si;;;8;Entregado; 26 ; 16:49:40 ;26;;8
273;235;FACTURA;000097;000097;2020-11-12 18:37:57;0.18;;Registrado;2020-11-12 18:37:57;2020-11-12 18:37:57;;;;28;5;;0.00;;si;;;7;Entregado; 12 ; 18:37:57 ;12;;2
337;235;FACTURA;000098;000098;2020-11-04 17:50:32;0.18;;Registrado;2020-11-04 17:50:32;2020-11-04 17:50:32;;;;29;15;;0.00;;si;;;6;Entregado; 4 ; 17:50:32 ;04;;3
335;234;BOLETA;000099;000099;2020-11-06 21:52:34;0.18;;Registrado;2020-11-06 21:52:34;2020-11-06 21:52:34;;;;25;14;;0.00;;si;;;8;Entregado; 6 ; 21:52:34 ;06;;2
285;234;FACTURA;000100;000100;2020-11-12 14:19:29;0.18;;Registrado;2020-11-12 14:19:29;2020-11-12 14:19:29;;;;11;1;;0.00;si;si;;;5;Entregado; 12 ; 14:19:29 ;12;;3
307;235;BOLETA;000101;000101;2020-11-05 16:42:14;0.18;;Registrado;2020-11-05 16:42:14;2020-11-05 16:42:14;instalación software;Instalar Microsoft Office, Winrar, Antivirus, Nitro, Adobe Reader DC;1;10;7;;0.00;;si;;;2;Entregado; 5 ; 16:42:14 ;05;;5
325;235;BOLETA;000102;000102;2020-11-08 18:19:43;0.18;;Registrado;2020-11-08 18:19:43;2020-11-08 18:19:43;;;;20;2;;0.00;;si;;;3;Entregado; 8 ; 18:19:43 ;08;Producto defectuoso;1
301;235;FACTURA;000103;000103;2020-11-12 14:39:20;0.18;;Registrado;2020-11-12 14:39:20;2020-11-12 14:39:20;;;;14;10;;0.00;;si;;;1;Entregado; 12 ; 14:39:20 ;12;;3
339;234;BOLETA;000104;000104;2020-11-23 11:53:56;0.18;;Registrado;2020-11-23 11:53:56;2020-11-23 11:53:56;;;;15;8;;0.00;;si;;;8;Entregado; 23 ; 11:53:56 ;23;;2
314;234;BOLETA;000105;000105;2020-11-27 21:28:11;0.18;;Registrado;2020-11-27 21:28:11;2020-11-27 21:28:11;;;;27;3;;0.00;;si;;;5;Entregado; 27 ; 21:28:11 ;27;;3
348;234;FACTURA;000106;000106;2020-11-12 10:55:26;0.18;;Registrado;2020-11-12 10:55:26;2020-11-12 10:55:26;instalación software;Instalar Microsoft Office, Winrar, Antivirus, Nitro, Adobe Reader DC;1;9;8;;0.00;;si;;;7;Entregado; 12 ; 10:55:26 ;12;;5
325;234;FACTURA;000107;000107;2020-11-16 14:15:48;0.18;;Registrado;2020-11-16 14:15:48;2020-11-16 14:15:48;;;;27;3;;0.00;;si;;;7;Entregado; 16 ; 14:15:48 ;16;;3
327;235;BOLETA;000108;000108;2020-11-20 15:12:34;0.18;;Registrado;2020-11-20 15:12:34;2020-11-20 15:12:34;;;;17;12;;0.00;;si;;;5;Entregado; 20 ; 15:12:34 ;20;;4
288;234;BOLETA;000109;000109;2020-11-30 14:44:12;0.18;;Registrado;2020-11-30 14:44:12;2020-11-30 14:44:12;;;;26;13;;0.00;;si;;;3;Entregado; 30 ; 14:44:12 ;30;;3
280;234;BOLETA;000110;000110;2020-11-24 12:47:56;0.18;;Registrado;2020-11-24 12:47:56;2020-11-24 12:47:56;;;;29;4;;0.00;;si;;;2;Entregado; 24 ; 12:47:56 ;24;;4
326;234;BOLETA;000111;000111;2020-11-16 21:14:47;0.18;;Registrado;2020-11-16 21:14:47;2020-11-16 21:14:47;;;;13;8;;0.00;;si;;;5;Entregado; 16 ; 21:14:47 ;16;Producto defectuoso;1
272;234;BOLETA;000112;000112;2020-11-01 20:39:16;0.18;;Registrado;2020-11-01 20:39:16;2020-11-01 20:39:16;;;;24;7;;0.00;;si;;;8;Entregado; 1 ; 20:39:16 ;01;;4
335;235;FACTURA;000113;000113;2020-11-28 18:45:48;0.18;;Registrado;2020-11-28 18:45:48;2020-11-28 18:45:48;;;;11;3;;0.00;;si;;;1;Entregado; 28 ; 18:45:48 ;28;;8
326;234;BOLETA;000114;000114;2020-11-11 11:49:36;0.18;;Registrado;2020-11-11 11:49:36;2020-11-11 11:49:36;instalación software;Instalar Microsoft Office, Winrar, Antivirus, Nitro, Adobe Reader DC;1;8;1;;0.00;;si;;;6;Entregado; 11 ; 11:49:36 ;11;Producto dañado;1
267;235;FACTURA;000115;000115;2020-11-23 20:58:29;0.18;;Registrado;2020-11-23 20:58:29;2020-11-23 20:58:29;instalación software;Instalar Microsoft Office, Winrar, Antivirus, Nitro, Adobe Reader DC;1;10;2;;0.00;;si;;;2;Entregado; 23 ; 20:58:29 ;23;;2
267;234;FACTURA;000116;000116;2020-11-18 21:38:18;0.18;;Registrado;2020-11-18 21:38:18;2020-11-18 21:38:18;;;;20;11;;0.00;;si;;;6;Entregado; 18 ; 21:38:18 ;18;;4
